학교명,학제,설립구분,시,지역,학교홈페이지,평균등록금(원),교외장학금 국가,교외장학금 지방자치단체,교외장학금 사설및기타,교내장학금 성적우수장학금,교내장학금 근로장학금,교내장학금 기타장학금
서원대학교,대학교,사립,충북,청주시,www.seowon.ac.kr,6954290,17719178442,237220260,309150100,1568859200,1011904788,4200691710
서일대학교,전문대학,사립,서울,중랑구,www.seoil.ac.kr,6090480,15373378397,10816400,116743830,1828047970,405325813,756849620
서정대학교,전문대학,사립,경기,양주시,www.seojeong.ac.kr,6289153,18826319277,18515500,31796000,246838600,535629363,7071800519
선린대학교,전문대학,사립,경북,포항시,www.sunlin.ac.kr,5834875,6186658103,0,54000000,307558800,75957988,768857300
선문대학교,대학교,사립,충남,아산시,www.sunmoon.ac.kr,7598499,24098603212,108151920,2328969615,1464533500,596747612,7123753709
성결대학교,대학교,사립,경기,안양시,www.sungkyul.ac.kr,7251329,11908906277,34661200,84130000,2587805118,655605334,2174899953
성공회대학교,대학교,사립,서울,구로구,www.skhu.ac.kr,7089425,5538534102,59604280,28218750,571358350,96458738,523501360
성균관대학교,대학교,사립,서울,종로구,www.skku.edu,8448561,25039205982,174514710,4349096820,9440796200,2004076107,10974191528
성신여자대학교,대학교,사립,서울,성북구,www.sungshin.ac.kr,7935790,18305180821,210243800,511850230,6487048500,819813363,1935088400
성운대학교,전문대학,사립,경북,영천시,www.sw.ac.kr,5084760,5314795451,0,16090900,0,4905624,1206118800
세경대학교,전문대학,사립,강원,영월군,www.saekyung.ac.kr,4977572,3009944690,257405000,236038000,76265500,27618460,288201100
세명대학교,대학교,사립,충북,제천시,www.semyung.ac.kr,6926388,18745070658,1371631480,253358400,2393847950,550085752,4760365970
세종대학교,대학교,사립,서울,광진구,www.sejong.ac.kr,7944926,20824060653,7000000,517880350,2789413500,936536722,4707400930
세한대학교,대학교,사립,전남,영암군,www.sehan.ac.kr,7090896,8807419377,1508000,160400000,428533400,79393936,1802317300
송곡대학교,전문대학,사립,강원,춘천시,www.songgok.ac.kr,5469243,1713859871,73365000,4250000,134838800,67586644,490304950
송원대학교,대학교,사립,광주,남구,www.songwon.ac.kr,6584458,8930593871,4500000,66600000,265788750,115138224,2893977360
